dataset_id,title,aliases,availability,availability_detail,availability_group,domain,scope_screen,scope_reason,url,access,license_evidence,data_sources,introduced_by,related_papers,source_note
Datasets/Public/BTAD,BTAD,BTAD | BeanTech | BeanTech Anomaly Detection | BeanTech AD,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,http://avires.dimi.uniud.it/papers/btad/btad.zip,public direct ZIP download,,AIVR Lab / University of Udine,[VT-ADL: A Vision Transformer Network for Image Anomaly Detection and Localization](https://arxiv.org/abs/2104.10036),[VT-ADL: A Vision Transformer Network for Image Anomaly Detection and Localization](https://arxiv.org/abs/2104.10036) | 2024 - RealNet A Feature Selection Network with Realistic Synthetic Anomaly for Anomaly Detection | 2024 - Defect Spectrum A Granular Look of Large-Scale Defect Datasets with Rich Semantics,Datasets/Public/BTAD.md
Datasets/Public/CarDD,CarDD,Car Damage Detection | CarDD dataset | Car Damage Detection dataset,public,public,Public,Automotive damage assessment,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://cardd-ustc.github.io/,public Google Drive file is listed on the project site; license form asks users to request/obtain access before use,PIC Lab license; prior consent required,CarDD project site | Google Drive | GitHub,2023 - CarDD A New Dataset for Vision-Based Car Damage Detection,2023 - CarDD A New Dataset for Vision-Based Car Damage Detection | 2026 - GiPL Generative augmented iterative Pseudo-Labeling for Cross-Domain Few-Shot Object Detection,Datasets/Public/CarDD.md
Datasets/Public/COCO,COCO,MS COCO | COCO detection,public,,Public,General computer vision,contextual,Automated exclusion-domain match: General computer vision,http://mscoco.org/dataset/#detections-challenge2015,,,,,,Datasets/Public/COCO.md
Datasets/Public/CODEBRIM,CODEBRIM,,public,public,Public,Construction inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://doi.org/10.5281/zenodo.2620293,,,Zenodo,,,Datasets/Public/CODEBRIM.md
Datasets/Public/Compressor blade borescope images,Compressor blade borescope images,Stage 4 high-pressure compressor blade images from borescope inspection video,public,public video source reported,Public,Aircraft maintenance,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.youtube.com/watch?v=eO6GRU4RfC4,,,"RB211 535 HPC4 borescope inspection video, RVI Ltd. Remote Visual Inspections, YouTube",,,Datasets/Public/Compressor blade borescope images.md
Datasets/Public/CottonSFDG,CottonSFDG,CottonSFDG | Cotton-Fabric | Standard Fabric Defect Glossary | Cotton Incorporated fabric defect glossary,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.cottoninc.com/quality-products/textile-resources/fabric-defect-glossary,public web glossary,,Cotton Incorporated,,2024 - Defect Spectrum A Granular Look of Large-Scale Defect Datasets with Rich Semantics,Datasets/Public/CottonSFDG.md
Datasets/Public/CSDD,CSDD,Casting Surface Defect Dataset | CSDD benchmark dataset,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/Kerio99/CSDD,,,GitHub,2025 - CSDD A Benchmark Dataset for Casting Surface Defect Detection and Segmentation,,Datasets/Public/CSDD.md
Datasets/Public/DAGM2007,DAGM2007,DAGM2007 | DAGM 2007 | Weakly supervised learning for industrial optical inspection,public,public download link by email form,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://zenodo.org/records/8086136,,Creative Commons Attribution 4.0 International,Zenodo | Heidelberg Collaboratory for Image Processing benchmark page,[Weakly supervised learning for industrial optical inspection dataset citation](https://zenodo.org/records/8086136),,Datasets/Public/DAGM2007.md
Datasets/Public/Dataset of Solar Cells Defect Segmentation,Dataset of Solar Cells Defect Segmentation,Dataset_of_solar_cells-defect_segmentation | SolarCells | SolarCells-S | PVEL-S | xiaoyunchen666 dataset-of-solar-cells-defect-segmentation,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/xiaoyunchen666/dataset-of-solar-cells-defect-segmentation,,Unknown,Kaggle,2025 - Lightweight Multiscale Feature Fusion Network for Solar Cell Defect Detection,2025 - Lightweight Multiscale Feature Fusion Network for Solar Cell Defect Detection,Datasets/Public/Dataset of Solar Cells Defect Segmentation.md
Datasets/Public/DeepPCB,DeepPCB,,public,,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/tangsanli5201/DeepPCB,,,GitHub,2019 - Online PCB Defect Detector on a New PCB Defect Dataset,,Datasets/Public/DeepPCB.md
Datasets/Public/Defect Spectrum,Defect Spectrum,Defect Spectrum | Defect Spectrum benchmark,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://envision-research.github.io/Defect_Spectrum/,,,Project site | Hugging Face | GitHub,2024 - Defect Spectrum A Granular Look of Large-Scale Defect Datasets with Rich Semantics,,Datasets/Public/Defect Spectrum.md
Datasets/Public/DME Fabric Defect Detection Dataset,DME Fabric Defect Detection Dataset,20250129_Fabric_defects | DME Fabric Defect Detection Dataset | 4fcvnr77sb,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://data.mendeley.com/datasets/4fcvnr77sb/1,,CC BY 4.0,Mendeley Data,2025 - AI-driven fabric classification,,Datasets/Public/DME Fabric Defect Detection Dataset.md
Datasets/Public/Driving synthetic scene flow dataset,Driving synthetic scene flow dataset,Driving dataset,public,,Public,Autonomous driving,contextual,Automated exclusion-domain match: Autonomous driving,http://lmb.informatik.uni-freiburg.de/resources/datasets/,,,,2016 - A Large Dataset to Train Convolutional Networks for Disparity Optical Flow and Scene Flow Estimation,,Datasets/Public/Driving synthetic scene flow dataset.md
Datasets/Public/DsPCBSD+,DsPCBSD+,DsPCBSD+,public,,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://doi.org/10.6084/m9.figshare.24970329,,CC BY 4.0,Figshare,2024 - A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect,,Datasets/Public/DsPCBSD+.md
Datasets/Public/EL-2019,EL-2019,EL-2019,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/binyisu/EL-2019,,,GitHub,2021 - SIGAN A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation,2021 - SIGAN A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation,Datasets/Public/EL-2019.md
Datasets/Public/ELPV Dataset,ELPV Dataset,elpv-dataset | A Benchmark for Visual Identification of Defective Solar Cells in Electroluminescence Imagery | Defective solar cells in electroluminescence imagery,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/zae-bayern/elpv-dataset,,CC BY-NC-SA 4.0 for images | Apache License 2.0 for Python source code,GitHub | PyPI,https://doi.org/10.4229/35thEUPVSEC20182018-5CV.3.15,2022 - Identifying Defective Solar Cells in Electroluminescence Images Using Deep Feature Representations | 2023 - Deep-Learning-Based Automatic Detection of Photovoltaic Cell Defects in Electroluminescence Images,Datasets/Public/ELPV Dataset.md
Datasets/Public/FabricSpotDefect,FabricSpotDefect,FabricSpotDefect dataset | FabricSpotDefect: An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://data.mendeley.com/datasets/6574nhzm8x/1,,,Mendeley Data,2024 - FabricSpotDefect An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,,Datasets/Public/FabricSpotDefect.md
Datasets/Public/FD_Dataset,FD_Dataset,FD_Dataset | FD_Dataset.7z | Fabric Defects Object Detection Dataset,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://figshare.com/articles/dataset/FD_Dataset_7z/25546465,,CC BY 4.0,Figshare,,2026 - Texture Conditioned GAN Based Self Supervised Framework for Fabric Defect Detection,Datasets/Public/FD_Dataset.md
Datasets/Public/FlyingThings3D,FlyingThings3D,Flying Things 3D,public,,Public,General computer vision,contextual,Automated exclusion-domain match: General computer vision,http://lmb.informatik.uni-freiburg.de/resources/datasets/,,,,2016 - A Large Dataset to Train Convolutional Networks for Disparity Optical Flow and Scene Flow Estimation,,Datasets/Public/FlyingThings3D.md
Datasets/Public/GC10-DET,GC10-DET,GC10-DET Metallic Surface Defect Dataset | Defects location for metal surface,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/lvxiaoming2019/GC10-DET-Metallic-Surface-Defect-Datasets,,,GitHub | Kaggle,2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network,,Datasets/Public/GC10-DET.md
Datasets/Public/Gearbox components remanufacturing inspection dataset,Gearbox components remanufacturing inspection dataset,gearboxcomponents-remanufacturing-inspection | Gearbox components remanufacturing inspection | Remanufacturing gearbox component dataset,public,public,Public,Remanufacturing inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/jhnnsbr/gearboxcomponents-remanufacturing-inspection,,,Kaggle,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,,Datasets/Public/Gearbox components remanufacturing inspection dataset.md
Datasets/Public/Glass Bangle Defect Detection Classification,Glass Bangle Defect Detection Classification,Kaggle glass bangle defect dataset | Glass bangle defect classification dataset,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/almique/glass-bangle-defect-detection-classification,,CC BY-SA 4.0,Kaggle,2023 - Cost Efficient Defect Detection in Bangle Industry Using Transfer Learning,2023 - Cost Efficient Defect Detection in Bangle Industry Using Transfer Learning,Datasets/Public/Glass Bangle Defect Detection Classification.md
Datasets/Public/Glass Defects,Glass Defects,Kaggle glass-defect | Laminated glass defect dataset | Annotated dataset for training and testing defect detection in laminated glass,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/pedrocanoas/glass-defect,,MIT,Kaggle | IFSP Integrated Project 1,,,Datasets/Public/Glass Defects.md
Datasets/Public/Heat Sink Surface Defect Dataset,Heat Sink Surface Defect Dataset,Heat sink surface defect dataset | kaifengyang/heat-sink-surface-defect-dataset,public,public,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/kaifengyang/heat-sink-surface-defect-dataset,,CC BY-NC-SA 4.0,Kaggle,2022 - Surface Defect Detection of Heat Sink Based on Lightweight Fully Convolutional Network,,Datasets/Public/Heat Sink Surface Defect Dataset.md
Datasets/Public/HRIPCB,HRIPCB,PKU-Market-PCB | PKU-PCB | Peking University PCB dataset | Printed circuit board (PCB) defect dataset | A PCB Dataset for Defects Detection and Classification dataset,public,,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://robotics.pkusz.edu.cn/resources/datasetENG/,,,HRI Lab PKU-Market dataset page,2020 - HRIPCB a Challenging Dataset for PCB Defects Detection and Classification,2020 - HRIPCB a Challenging Dataset for PCB Defects Detection and Classification | 2022 - Semi-Supervised Defect Detection Method with Data-Expanding Strategy for PCB Quality Inspection,Datasets/Public/HRIPCB.md
Datasets/Public/HSS-IAD,HSS-IAD,HSS-IAD,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/Qiqigeww/HSS-IAD-Dataset,,,GitHub | Google Drive,2025 - HSS-IAD A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,,Datasets/Public/HSS-IAD.md
Datasets/Public/ImageNet,ImageNet,ImageNet | ILSVRC,public,restricted to research and educational access under ImageNet terms,Public,General computer vision,contextual,Automated exclusion-domain match: General computer vision,https://www.image-net.org/,,ImageNet does not own image copyrights; access is governed by ImageNet terms,ImageNet project website,[ImageNet: A large-scale hierarchical image database](https://openalex.org/W2108598243),,Datasets/Public/ImageNet.md
Datasets/Public/Industrial-5i,Industrial-5i,Industrial 5i | A Data Set For Few-Shot Segmentation on Industrial Surface Defect Detation,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.scidb.cn/en/detail?dataSetId=e1c585f563ff47c58bbacd832bac12ba,,CC BY-NC-SA 4.0,Science Data Bank,2023 - Few-shot semantic segmentation for industrial defect recognition,,Datasets/Public/Industrial-5i.md
Datasets/Public/InfraredSolarModules,InfraredSolarModules,Infrared Solar Modules | Infrared Solar Module Dataset | InfraredSolarModules dataset,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/RaptorMaps/InfraredSolarModules,,MIT License,GitHub | Raptor Maps,2020 - Infrared Solar Module Dataset for Anomaly Detection,,Datasets/Public/InfraredSolarModules.md
Datasets/Public/KolektorSDD,KolektorSDD,KolektorSDD,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.vicos.si/resources/kolektorsdd/,,,Kolektor Group,2020 - Segmentation-Based Deep-Learning Approach for Surface-Defect Detection,2020 - Segmentation-Based Deep-Learning Approach for Surface-Defect Detection,Datasets/Public/KolektorSDD.md
Datasets/Public/KolektorSDD2,KolektorSDD2,KolektorSDD2,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.vicos.si/Downloads/KolektorSDD2,,,VICOS | Kolektor Group,2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning,2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning,Datasets/Public/KolektorSDD2.md
Datasets/Public/LoHi-WELD,LoHi-WELD,LoHi-WELD,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/SylvioBlock/LoHi-Weld,,"free for research, non-commercial, or commercial purposes with citation",GitHub | Google Drive,"2024 - LoHi-WELD A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives",,Datasets/Public/LoHi-WELD.md
Datasets/Public/Lusitano,Lusitano,Lusitano dataset | Projeto Lusitano fabric defect dataset,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://kailashhambarde.github.io/Lusitano/,,,kailashhambarde.github.io,2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,,Datasets/Public/Lusitano.md
Datasets/Public/Magnetic Tile Defects,Magnetic Tile Defects,Magnetic Tile Defects | Magnetic Tile Defect Dataset | Magnetic tile defect datasets | Magnetic tile surface defects,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/abin24/Magnetic-tile-defect-datasets.,,,GitHub | magnetic tile surface images,2020 - Surface Defect Saliency of Magnetic Tile,2020 - Surface Defect Saliency of Magnetic Tile | 2022 - FDSNet An Accurate Real-Time Surface Defect Segmentation Network | 2023 - Few-shot semantic segmentation for industrial defect recognition | 2024 - DiffDD A Surface Defect Detection Framework with Diffusion Probabilistic Model | 2022 - Defect Transfer GAN Diverse Defect Synthesis for Data Augmentation,Datasets/Public/Magnetic Tile Defects.md
Datasets/Public/Metal Surface Defects Dataset,Metal Surface Defects Dataset,C5Data2 | c5data2 | niclinn/c5data2,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/niclinn/c5data2,,CC0: Public Domain,Kaggle,,2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network,Datasets/Public/Metal Surface Defects Dataset.md
Datasets/Public/MixedWM38,MixedWM38,MixedWM38 wafer map dataset,public,,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/Junliangwangdhu/WaferMap,,,GitHub | Kaggle | Google Drive | Baidu Pan,2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,,Datasets/Public/MixedWM38.md
Datasets/Public/MNIST,MNIST,MNIST dataset,public,,Public,Document analysis,contextual,Automated exclusion-domain match: Document analysis,http://www.research.att.com/~yann/ocr/mnist,,,,1998 - Gradient-Based Learning Applied to Document Recognition,,Datasets/Public/MNIST.md
Datasets/Public/Monkaa,Monkaa,,public,,Public,General computer vision,contextual,Automated exclusion-domain match: General computer vision,http://lmb.informatik.uni-freiburg.de/resources/datasets/,,,,2016 - A Large Dataset to Train Convolutional Networks for Disparity Optical Flow and Scene Flow Estimation,,Datasets/Public/Monkaa.md
Datasets/Public/MPDD,MPDD,MPDD,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/stepanje/MPDD,,,GitHub,2021 - Deep Learning-Based Defect Detection of Metal Parts Evaluating Current Methods in Complex Conditions,,Datasets/Public/MPDD.md
Datasets/Public/MPDD2,MPDD2,MPDD2 | Metal Parts Defect Detection Dataset 2 | Real-world industrial anomaly benchmark dataset | metal parts fabrication anomaly benchmark,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/stepanje/MPDD2,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,GitHub,2022 - Anomaly Detection for Real-World Industrial Applications Benchmarking Recent Self-Supervised and Pretrained Methods,,Datasets/Public/MPDD2.md
Datasets/Public/MSD,MSD,Mobile Phone Screen Surface Defect Dataset | MSD smartphone screen defect dataset | Mobile phone screen Surface Defect dataset,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/jianzhang96/MSD,,,GitHub MSD repository | GitHub FDSNet repository,2022 - FDSNet An Accurate Real-Time Surface Defect Segmentation Network,,Datasets/Public/MSD.md
Datasets/Public/MSDD,MSDD,Metal Surface Defect Dataset | MSDD | Photometric stereo complex structured parts dataset | Complex structured parts surface defect dataset,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://doi.org/10.57760/sciencedb.10794,,Creative Commons Attribution 4.0 International,ScienceDB,2025 - A Dataset for Surface Defect Detection on Complex Structured Parts Based on Photometric Stereo,,Datasets/Public/MSDD.md
Datasets/Public/MVEP,MVEP,MVEP version1 | Multi-View Evaluation Protocol for Glass Container Inspection,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://datasets.projet.liris.cnrs.fr/mvep-version1,,Creative common,LIRIS datasets library,https://hal.science/hal-05494004v1,,Datasets/Public/MVEP.md
Datasets/Public/MVTec AD,MVTec AD,MVTec2D,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.mvtec.com/research-teaching/datasets/mvtec-ad,downloadable from MVTec research dataset page,CC BY-NC-SA 4.0,MVTec,2021 - The MVTec Anomaly Detection Dataset,2021 - The MVTec Anomaly Detection Dataset,Datasets/Public/MVTec AD.md
Datasets/Public/MVTec AD 2,MVTec AD 2,MVTec AD 2 Dataset,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.mvtec.com/research-teaching/datasets/mvtec-ad-2,image data downloadable from MVTec; private-test ground truth available only through MVTec benchmark server,CC BY-NC-SA 4.0,MVTec,2025 - The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection,2025 - The MVTec AD 2 Dataset Advanced Scenarios for Unsupervised Anomaly Detection,Datasets/Public/MVTec AD 2.md
Datasets/Public/MVTec Caption,MVTec Caption,MVTec Caption,public,public construction repository,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/hujiecpp/MVTec-Caption,GitHub repository provides construction scripts; captions are built from downloaded MVTec AD and MVTec LOCO AD datasets,base MVTec datasets are CC BY-NC-SA 4.0 | repository license not reported,MVTec AD | MVTec LOCO AD,2024 - AnomalyXFusion Multi-modal Anomaly Synthesis with Diffusion,2024 - AnomalyXFusion Multi-modal Anomaly Synthesis with Diffusion,Datasets/Public/MVTec Caption.md
Datasets/Public/MVTec LOCO AD,MVTec LOCO AD,MVTec LOCO AD,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.mvtec.com/research-teaching/datasets/mvtec-loco-ad,downloadable from MVTec research dataset page,CC BY-NC-SA 4.0,MVTec,2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,Datasets/Public/MVTec LOCO AD.md
Datasets/Public/MVTec3D,MVTec3D,MVTec 3D,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.mvtec.com/research-teaching/datasets/mvtec-3d-ad,downloadable from MVTec research dataset page,CC BY-NC-SA 4.0,MVTec,2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,Datasets/Public/MVTec3D.md
